uid,punchInDateTime,punchOutDateTime,servicesPerformed
88888888,1/11/2025 9:00,1/11/2025 12:54,electrical
88888888,1/11/2025 13:30,1/11/2025 17:43,engineering
88888888,2/11/2025 9:00,2/11/2025 19:34,plumbing
88895688,1/11/2025 9:00,1/11/2025 11:30,electrical
88895688,1/11/2025 12:30,1/11/2025 20:43,engineering
88895688,2/11/2025 9:00,2/11/2025 18:34,plumbing
88895685,1/11/2025 19:00,1/11/2025 23:59,electrical
88895685,2/11/2025 00:00,2/11/2025 4:39,electrical
88895685,2/11/2025 10:30,2/11/2025 13:43,engineering
88895685,2/11/2025 17:00,2/11/2025 18:34,plumbing
